Awards,Credits,Job,Name,Noms,Wins
"won 1 oscar, another 58 win & 101 nomination",316.0,Actress,Charlize Theron,101,59
"won 2 oscars, another 88 win & 198 nomination",494.0,Actor,George Clooney,198,90
"won 1 oscar, another 41 win & 89 nomination",215.0,Actor,Tommy Lee Jones,89,42
"nominated 4 golden globes, another 38 win & 136 nomination",265.0,Actress,Scarlett Johansson,140,38
"won 1 oscar, another 65 win & 82 nomination",203.0,Actor,Christian Bale,82,66
"won 2 oscars, another 54 win & 85 nomination",397.0,Actor,Kevin Spacey,85,56
"won 1 oscar, another 12 win & 35 nomination",183.0,Actor,Adrien Brody,35,13
"won 1 golden globe, another 20 win & 27 nomination",308.0,Actor,Richard Gere,27,21
"won 1 oscar, another 19 win & 34 nomination",174.0,Actress,Rachel Weisz,34,20
"won 1 golden globe, another 13 win & 53 nomination",224.0,Actor,"Colin Farrell
(I)",53,14
"won 1 oscar, another 52 win & 80 nomination",553.0,Actress,Susan Sarandon,80,53
"nominated 2 oscars, another 36 win & 101 nomination",215.0,Actor,Ralph Fiennes,103,36
"won 1 golden globe, another 20 win & 58 nomination",306.0,Actor,"Kiefer Sutherland
(I)",58,21
"nominated 2 oscars, another 25 win & 41 nomination",303.0,Actor,John Malkovich,43,25
"nominated 1 golden globe, another 10 win & 37 nomination",174.0,Actor,"Guy Pearce
(I)",38,10
"won 1 oscar, another 45 win & 106 nomination",355.0,Actor,"Jeff Bridges
(I)",106,46
"won 1 golden globe, another 34 win & 77 nomination",319.0,Actress,Jennifer Aniston,77,35
"nominated 1 oscar, another 18 win & 23 nomination",210.0,Actor,"Tim Roth
(I)",24,18
"won 1 golden globe, another 7 win & 17 nomination",295.0,Actor,"Christian Slater
(I)",17,8
9 win & 34 nomination,186.0,Actress,Kate Beckinsale,34,9
"won 1 oscar, another 31 win & 53 nomination",290.0,Actor,Billy Bob Thornton,53,32
9 win & 12 nomination,178.0,Actor,Wesley Snipes,12,9
"nominated 1 oscar, another 31 win & 72 nomination",342.0,Actor,"Eddie Murphy
(I)",73,31
"won 2 oscars, another 36 win & 63 nomination",475.0,Actor,"Michael Caine
(I)",63,38
"nominated 1 oscar, another 22 win & 35 nomination",576.0,Actress,"Sharon Stone
(I)",36,22
23 win & 14 nomination,190.0,Actor,"Anil Kapoor
(IV)",14,23
1 win & 7 nomination,144.0,Actor,"Sunil Shetty
(I)",7,1
"won 1 golden globe, another 32 win & 56 nomination",379.0,Producer,"Drew Barrymore
(I)",56,33
8 win & 19 nomination,288.0,Actor,"Paul Rudd
(I)",19,8
"won 2 oscars, another 52 win & 57 nomination",337.0,Actor,Kevin Costner,57,54
"won 1 oscar, another 56 win & 62 nomination",340.0,Actor,Robert Duvall,62,57
"nominated 1 bafta film award, another 13 win & 29 nomination",125.0,Actor,"Stephen Chow
(I)",30,13
7 win & 9 nomination,200.0,Actor,Dermot Mulroney,9,7
"won 1 oscar, another 22 win & 34 nomination",293.0,Actor,Christopher Walken,34,23
"nominated 1 golden globe, another 12 win & 22 nomination",313.0,Actor,John Leguizamo,23,12
"won 1 oscar, another 85 win & 155 nomination",285.0,Actress,Kate Winslet,155,86
"nominated 3 golden globes, another 8 win & 25 nomination",246.0,Actor,Sam Neill,28,8
4 win & 4 nomination,262.0,Actor,Jackie Shroff,4,4
"won 1 golden globe, another 14 win & 26 nomination",373.0,Actor,"Kevin Bacon
(I)",26,15
"nominated 4 golden globes, another 11 win & 37 nomination",230.0,Actor,"Jeff Daniels
(I)",41,11
"nominated 1 oscar, another 25 win & 64 nomination",219.0,Actress,Uma Thurman,65,25
"nominated 3 oscars, another 26 win & 50 nomination",349.0,Actress,Sigourney Weaver,53,26
"nominated 1 oscar, another 26 win & 85 nomination",412.0,Actor,Hugh Jackman,86,26
10 win & 15 nomination,206.0,Actor,Stellan Skarsgård,15,10
"won 1 oscar, another 28 win & 73 nomination",228.0,Actress,Renée Zellweger,73,29
"nominated 1 golden globe, another 7 win & 17 nomination",138.0,Actor,Aaron Eckhart,18,7
"nominated 3 oscars, another 51 win & 77 nomination",533.0,Actor,Tom Cruise,80,51
"won 1 oscar, another 33 win & 52 nomination",205.0,Actress,Juliette Binoche,52,34
"nominated 3 oscars, another 11 win & 34 nomination",189.0,Actor,Nick Nolte,37,11
2 win & 10 nomination,138.0,Actress,Juhi Chawla,10,2
1 win & 3 nomination,155.0,Actor,Jason Statham,3,1
5 win & 13 nomination,214.0,Actor,Val Kilmer,13,5
25 win & 44 nomination,351.0,Actor,"Elijah Wood
(I)",44,25
6 win & 11 nomination,188.0,Actor,"Govinda
(I)",11,6
4 win & 15 nomination,194.0,Actor,"Gerard Butler
(I)",15,4
"won 1 oscar, another 22 win & 49 nomination",303.0,Actress,Gwyneth Paltrow,49,23
"won 1 golden globe, another 4 win & 23 nomination",286.0,Actor,Charlie Sheen,23,5
"nominated 1 primetime emmy, another 14 win & 30 nomination",241.0,Actor,"Daniel Craig
(I)",31,14
"won 1 oscar, another 53 win & 101 nomination",296.0,Actress,Reese Witherspoon,101,54
"won 1 oscar, another 83 win & 130 nomination",263.0,Actress,Natalie Portman,130,84
"nominated 2 golden globes, another 11 win & 68 nomination",557.0,Actor,"Will Ferrell
(I)",70,11
11 win & 50 nomination,606.0,Actor,"Dwayne Johnson
(I)",50,11
"won 1 oscar, another 44 win & 57 nomination",218.0,Actor,Sam Rockwell,57,45
9 win & 4 nomination,150.0,Actor,"Luke Wilson
(I)",4,9
11 win & 14 nomination,101.0,Actress,Madhuri Dixit,14,11
"won 1 oscar, another 55 win & 110 nomination",348.0,Actress,Angelina Jolie,110,56
18 win & 30 nomination,97.0,Actor,Saif Ali Khan,30,18
"nominated 3 oscars, another 32 win & 108 nomination",142.0,Actor,Joaquin Phoenix,111,32
"nominated 5 golden globes, another 22 win & 36 nomination",468.0,Writer,"Steve Martin
(I)",41,22
"nominated 1 oscar, another 20 win & 37 nomination",161.0,Actor,"Clive Owen
(I)",38,20
"won 2 oscars, another 41 win & 39 nomination",375.0,Actor,"Mel Gibson
(I)",39,43
"nominated 1 oscar, another 64 win & 39 nomination",241.0,Actor,Michael Keaton,40,64
"won 2 oscars, another 30 win & 39 nomination",256.0,Actor,Gene Hackman,39,32
"won 1 oscar, another 41 win & 81 nomination",365.0,Actress,Halle Berry,81,42
"nominated 3 golden globes, another 3 win & 5 nomination",126.0,Actor,Thomas Jane,8,3
7 win & 3 nomination,186.0,Actor,"Bill Pullman
(I)",3,7
"won 2 golden globes, another 15 win & 28 nomination",368.0,Actor,"Donald Sutherland
(I)",28,17
7 win & 14 nomination,232.0,Producer,"Vince Vaughn
(I)",14,7
"nominated 1 oscar, another 15 win & 31 nomination",181.0,Actress,"Diane Lane
(I)",32,15
"won 1 oscar, another 14 win & 25 nomination",159.0,Actress,"Jennifer Connelly
(I)",25,15
"won 1 golden globe, another 18 win & 31 nomination",285.0,Actor,"Hugh Grant
(I)",31,19
"nominated 3 oscars, another 29 win & 109 nomination",229.0,Actor,Mark Ruffalo,112,29
"nominated 2 oscars, another 60 win & 123 nomination",615.0,Music Department,"Will Smith
(I)",125,60
"nominated 2 oscars, another 30 win & 53 nomination",120.0,Actress,"Emily Watson
(I)",55,30
"nominated 1 oscar, another 33 win & 127 nomination",341.0,Actor,Steve Carell,128,33
"nominated 4 golden globes, another 6 win & 19 nomination",253.0,Actor,"Bill Paxton
(1955–2017)",23,6
3 win & 19 nomination,168.0,Actress,Milla Jovovich,19,3
48 win & 67 nomination,174.0,Actress,"Kristen Stewart
(I)",67,48
"nominated 1 oscar, another 17 win & 42 nomination",291.0,Actress,Salma Hayek,43,17
"won 1 golden globe, another 5 win & 17 nomination",196.0,Actor,Gabriel Byrne,17,6
"nominated 1 oscar, another 12 win & 19 nomination",187.0,Actor,"Greg Kinnear
(I)",20,12
"nominated 3 oscars, another 24 win & 47 nomination",221.0,Actress,Michelle Pfeiffer,50,24
"won 2 oscars, another 71 win & 105 nomination",298.0,Actor,"Sean Penn
(I)",105,73
"nominated 1 oscar, another 27 win & 46 nomination",179.0,Actress,Kristin Scott Thomas,47,27
6 win & 10 nomination,186.0,Actress,"Heather Graham
(I)",10,6
"nominated 1 oscar, another 36 win & 95 nomination",247.0,Actor,Jake Gyllenhaal,96,36
"nominated 2 oscars, another 24 win & 68 nomination",169.0,Actor,"Tom Wilkinson
(I)",70,24
"nominated 1 golden globe, another 17 win & 31 nomination",176.0,Actor,James McAvoy,32,17
"nominated 3 oscars, another 56 win & 62 nomination",560.0,Actor,Sylvester Stallone,65,56
"nominated 1 golden globe, another 6 win & 12 nomination",264.0,Actor,"Kurt Russell
(I)",13,6
"won 1 oscar, another 97 win & 209 nomination",340.0,Actor,Leonardo DiCaprio,209,98
"nominated 4 primetime emmys, another 25 win & 38 nomination",488.0,Actor,Danny Glover,42,25
"won 2 golden globes, another 46 win & 93 nomination",374.0,Actor,Jim Carrey,93,48
8 win & 5 nomination,418.0,Actor,"Michael Madsen
(I)",5,8
"nominated 1 oscar, another 39 win & 39 nomination",475.0,Actor,"Harrison Ford
(I)",40,39
"nominated 1 oscar, another 16 win & 24 nomination",300.0,Actor,"Andy Garcia
(I)",25,16
"won 1 oscar, another 16 win & 42 nomination",262.0,Actor,Cuba Gooding Jr.,42,17
"nominated 2 oscars, another 23 win & 15 nomination",560.0,Actor,"Dennis Hopper
(1936–2010)",17,23
"nominated 1 oscar, another 24 win & 63 nomination",330.0,Actor,Laurence Fishburne,64,24
"nominated 2 oscars, another 19 win & 47 nomination",189.0,Actress,Winona Ryder,49,19
2 win & 3 nomination,180.0,Actor,"Jean Reno
(I)",3,2
"won 1 oscar, another 33 win & 88 nomination",274.0,Actress,"Kathy Bates
(I)",88,34
"nominated 1 golden globe, another 18 win & 33 nomination",192.0,Actress,"Christina Ricci
(I)",34,18
"nominated 3 golden globes, another 11 win & 27 nomination",164.0,Actress,"Meg Ryan
(I)",30,11
"won 1 oscar, another 64 win & 104 nomination",259.0,Actress,Anne Hathaway,104,65
"nominated 2 oscars, another 32 win & 91 nomination",243.0,Actor,Viggo Mortensen,93,32
"won 1 oscar, another 121 win & 124 nomination",433.0,Actress,"Helen Mirren
(I)",124,122
"nominated 1 oscar, another 52 win & 78 nomination",315.0,Actor,"Bill Murray
(I)",79,52
"won 1 oscar, another 7 win & 33 nomination",207.0,Actor,"Kevin Kline
(I)",33,8
1 win & 1 nomination,176.0,Actor,"Christopher Lambert
(I)",1,1
"nominated 3 oscars, another 39 win & 88 nomination",189.0,Actress,Laura Linney,91,39
"won 2 oscars, another 59 win & 104 nomination",267.0,Actress,"Emma Thompson
(I)",104,61
"nominated 1 oscar, another 21 win & 48 nomination",123.0,Actress,Rachel McAdams,49,21
"nominated 4 oscars, another 52 win & 110 nomination",188.0,Actress,Annette Bening,114,52
"won 1 golden globe, another 5 win & 11 nomination",360.0,Actor,"Ron Perlman
(I)",11,6
5 win & 6 nomination,160.0,Actor,Stephen Dorff,6,5
"won 1 oscar, another 16 win & 29 nomination",176.0,Actor,William Hurt,29,17
6 win & 2 nomination,101.0,Actress,Raveena Tandon,2,6
"nominated 1 oscar, another 26 win & 61 nomination",197.0,Actress,Jennifer Jason Leigh,62,26
"nominated 2 oscars, another 16 win & 54 nomination",131.0,Actress,Catherine Keener,56,16
"won 1 oscar, another 101 win & 79 nomination",291.0,Actor,Javier Bardem,79,102
"won 1 oscar, another 44 win & 78 nomination",224.0,Actor,"Geoffrey Rush
(I)",78,45
"won 1 oscar, another 23 win & 50 nomination",213.0,Actress,Marisa Tomei,50,24
17 win & 28 nomination,172.0,Actress,Dakota Fanning,28,17
"nominated 2 golden globes, another 18 win & 19 nomination",151.0,Actress,"Maria Bello
(I)",21,18
"won 1 oscar, another 89 win & 99 nomination",209.0,Actor,"Philip Seymour Hoffman
(1967–2014)",99,90
"nominated 1 golden globe, another 3 win & 14 nomination",240.0,Actor,"Matthew Broderick
(I)",15,3
"nominated 2 golden globes, another 2 win & 16 nomination",113.0,Actor,"Patrick Wilson
(I)",18,2
"won 1 oscar, another 32 win & 54 nomination",208.0,Actress,Diane Keaton,54,33
11 win & 44 nomination,266.0,Actress,Rosario Dawson,44,11
"won 1 oscar, another 62 win & 151 nomination",230.0,Actress,Tilda Swinton,151,63
8 win & 6 nomination,384.0,Actor,"Mithun Chakraborty
(I)",6,8
7 win & 35 nomination,164.0,Actor,"Chris Evans
(V)",35,7
"won 1 oscar, another 54 win & 82 nomination",776.0,Actress,Whoopi Goldberg,82,55
"nominated 2 oscars, another 43 win & 85 nomination",214.0,Actress,Helena Bonham Carter,87,43
"won 2 oscars, another 47 win & 40 nomination",452.0,Actor,"Michael Douglas
(I)",40,49
"won 1 oscar, another 36 win & 39 nomination",313.0,Actor,"Tim Robbins
(I)",39,37
9 win & 25 nomination,433.0,Soundtrack,Ice Cube,25,9
7 win & 11 nomination,166.0,Actor,"Paul Walker
(I)
(1973–2013)",11,7
8 win & 19 nomination,159.0,Actor,Vincent Cassel,19,8
7 win & 8 nomination,74.0,Actress,"Karisma Kapoor
(I)",8,7
"nominated 1 oscar, another 38 win & 37 nomination",223.0,Actor,Mickey Rourke,38,38
"nominated 2 golden globes, another 13 win & 26 nomination",206.0,Actress,Demi Moore,28,13
"nominated 3 primetime emmys, another 13 win & 32 nomination",220.0,Actress,"Elizabeth Banks
(II)",35,13
"nominated 1 golden globe, another 13 win & 51 nomination",271.0,Actor,Alfred Molina,52,13
24 win & 38 nomination,80.0,Actress,Rani Mukerji,38,24
16 win & 16 nomination,159.0,Actress,Diane Kruger,16,16
"won 1 golden globe, another 16 win & 69 nomination",179.0,Actress,Emily Blunt,69,17
"nominated 1 oscar, another 25 win & 36 nomination",179.0,Actress,Patricia Clarkson,37,25
"nominated 3 oscars, another 46 win & 77 nomination",209.0,Actor,"Edward Norton
(I)",80,46
"won 1 oscar, another 29 win & 31 nomination",346.0,Actor,Jeremy Irons,31,30
"nominated 2 golden globes, another 21 win & 61 nomination",255.0,Actor,Joseph Gordon-Levitt,63,21
"nominated 2 primetime emmys, another 2 win & 11 nomination",153.0,Actor,"Aidan Quinn
(I)",13,2
"nominated 4 oscars, another 40 win & 131 nomination",151.0,Actress,"Michelle Williams
(I)",135,40
"nominated 2 oscars, another 28 win & 94 nomination",204.0,Actress,Keira Knightley,96,28
"won 1 golden globe, another 10 win & 52 nomination",230.0,Actress,"Jennifer Garner
(I)",52,11
"nominated 2 golden globes, another 1 win & 6 nomination",83.0,Actress,Bridget Fonda,8,1
12 win & 16 nomination,450.0,Actor,Anupam Kher,16,12
16 win & 11 nomination,233.0,Actor,Sean Bean,11,16
"nominated 5 oscars, another 66 win & 191 nomination",215.0,Actress,"Amy Adams
(III)",196,66
21 win & 24 nomination,85.0,Actress,Aishwarya Rai Bachchan,24,21
"nominated 1 golden globe, another 7 win & 8 nomination",366.0,Actor,"Joe Mantegna
(I)",9,7
"nominated 1 oscar, another 15 win & 70 nomination",176.0,Actress,Anna Kendrick,71,15
6 win & 1 nomination,171.0,Actor,Michael Paré,1,6
"nominated 1 oscar, another 12 win & 38 nomination",465.0,Actor,Danny DeVito,39,12
"nominated 1 oscar, another 21 win & 56 nomination",144.0,Actor,Jesse Eisenberg,57,21
"nominated 2 golden globes, another 5 win & 16 nomination",175.0,Actress,Ashley Judd,18,5
"nominated 2 golden globes, another 10 win & 45 nomination",504.0,Actor,"Jack Black
(I)",47,10
"nominated 6 oscars, another 50 win & 85 nomination",365.0,Actress,Glenn Close,91,50
"nominated 4 oscars, another 28 win & 64 nomination",235.0,Actor,"Bradley Cooper
(I)",68,28
"won 1 golden globe, another 22 win & 34 nomination",261.0,Actor,"Tim Allen
(I)",34,23
"won 1 oscar, another 47 win & 79 nomination",493.0,Actor,Jamie Foxx,79,48
"nominated 2 oscars, another 76 win & 138 nomination",170.0,Actor,Michael Fassbender,140,76
8 win & 32 nomination,283.0,Actor,Vin Diesel,32,8
"nominated 1 golden globe, another 14 win & 32 nomination",130.0,Actor,Peter Sarsgaard,33,14
8 win & 3 nomination,293.0,Producer,"David Arquette
(I)",3,8
"nominated 1 oscar, another 20 win & 24 nomination",180.0,Actor,"Matt Dillon
(I)",25,20
2 win & 4 nomination,242.0,Actor,Billy Zane,4,2
"nominated 2 oscars, another 33 win & 139 nomination",178.0,Actor,Ryan Gosling,141,33
"nominated 1 golden globe, another 11 win & 22 nomination",325.0,Actor,"Brian Cox
(I)",23,11
"won 2 oscars, another 86 win & 84 nomination",128.0,Actress,Frances McDormand,84,88
"nominated 3 golden globes, another 9 win & 33 nomination",102.0,Actor,James Spader,36,9
"nominated 1 golden globe, another 7 win & 11 nomination",135.0,Actor,David Thewlis,12,7
"won 1 oscar, another 48 win & 52 nomination",190.0,Actress,Patricia Arquette,52,49
none,171.0,Actress,"Shannon Tweed
(I)",0,0
"nominated 1 golden globe, another 5 win & 23 nomination",183.0,Actress,"Jessica Biel
(I)",24,5
"nominated 1 oscar, another 3 win & 14 nomination",410.0,Writer,Dan Aykroyd,15,3
"nominated 2 oscars, another 77 win & 109 nomination",187.0,Actress,Jessica Chastain,111,77
"won 1 golden globe, another 35 win & 35 nomination",210.0,Actor,Gael García Bernal,35,36
"nominated 1 oscar, another 11 win & 24 nomination",360.0,Actor,Jeff Goldblum,25,11
"won 1 golden globe, another 18 win & 34 nomination",176.0,Actor,"Alan Rickman
(I)
(1946–2016)",34,19
21 win & 56 nomination,209.0,Actor,Channing Tatum,56,21
"nominated 2 golden globes, another 18 win & 30 nomination",230.0,Actor,John Turturro,32,18
5 win & 11 nomination,158.0,Actor,"Martin Lawrence
(I)",11,5
"nominated 1 golden globe, another 27 win & 69 nomination",625.0,Actress,"Jennifer Lopez
(I)",70,27
"nominated 1 golden globe, another 5 win & 37 nomination",123.0,Actress,Lena Headey,38,5
"nominated 1 oscar, another 29 win & 54 nomination",253.0,Actor,"Stanley Tucci
(I)",55,29
5 win & 4 nomination,120.0,Actor,"Sunny Deol
(I)",4,5
2 win & 10 nomination,121.0,Actor,Steve Zahn,10,2
21 win & 23 nomination,102.0,Actor,Abhishek Bachchan,23,21
"nominated 1 golden globe, another 15 win & 39 nomination",282.0,Actress,Jessica Alba,40,15
6 win & 17 nomination,127.0,Actor,Sam Worthington,17,6
none,94.0,Actor,Craig Sheffer,0,0
"won 1 oscar, another 45 win & 62 nomination",353.0,Actor,"Christopher Plummer
(I)",62,46
14 win & 33 nomination,155.0,Actress,Charlotte Gainsbourg,33,14
"nominated 1 oscar, another 45 win & 59 nomination",224.0,Actor,"Paul Giamatti
(I)",60,45
"won 4 golden globes, another 25 win & 45 nomination",316.0,Actress,Sarah Jessica Parker,45,29
"nominated 1 golden globe, another 3 win & 12 nomination",165.0,Actress,Parker Posey,13,3
21 win & 24 nomination,111.0,Actor,Tony Chiu-Wai Leung,24,21
"nominated 2 oscars, another 18 win & 39 nomination",204.0,Actress,"Miranda Richardson
(I)",41,18
"nominated 1 oscar, another 12 win & 20 nomination",225.0,Actress,"Melanie Griffith
(I)",21,12
13 win & 43 nomination,187.0,Actor,Shia LaBeouf,43,13
3 win & 8 nomination,191.0,Actor,"Justin Long
(I)",8,3
"won 1 golden globe, another 24 win & 35 nomination",643.0,Actor,Arnold Schwarzenegger,35,25
8 win & 15 nomination,126.0,Actor,"Anton Yelchin
(1989–2016)",15,8
"nominated 1 oscar, another 23 win & 14 nomination",214.0,Actor,"Bob Hoskins
(I)
(1942–2014)",15,23
"nominated 1 golden globe, another 14 win & 45 nomination",182.0,Actor,Joel Edgerton,46,14
4 win & 6 nomination,98.0,Actor,Jim Caviezel,6,4
"nominated 1 golden globe, another 4 win & 35 nomination",98.0,Actor,Cillian Murphy,36,4
34 win & 27 nomination,158.0,Actress,Priyanka Chopra,27,34
5 win & 5 nomination,94.0,Actress,Manisha Koirala,5,5
4 win & 13 nomination,87.0,Actress,Urmila Matondkar,13,4
6 win & 12 nomination,163.0,Actor,"James Marsden
(I)",12,6
"nominated 1 oscar, another 17 win & 36 nomination",194.0,Actress,"Kate Hudson
(I)",37,17
1 win & 19 nomination,147.0,Actress,Anna Faris,19,1
"nominated 1 oscar, another 17 win & 43 nomination",214.0,Actor,"John C. Reilly
(I)",44,17
11 win & 10 nomination,124.0,Actress,Emmanuelle Béart,10,11
"won 1 golden globe, another 12 win & 60 nomination",156.0,Actress,"Robin Wright
(V)",60,13
"nominated 2 golden globes, another 13 win & 25 nomination",142.0,Actress,Rose Byrne,27,13
"nominated 1 golden globe, another 13 win & 7 nomination",400.0,Actor,"Malcolm McDowell
(I)",8,13
5 win & 8 nomination,134.0,Actor,Seann William Scott,8,5
3 win & 17 nomination,117.0,Actor,"Josh Hartnett
(I)",17,3
"won 1 oscar, another 77 win & 113 nomination",239.0,Actress,Marion Cotillard,113,78
"nominated 1 primetime emmy, another 7 win & 29 nomination",188.0,Actor,"Chris Pine
(I)",30,7
"nominated 1 primetime emmy, another 7 win & 9 nomination",95.0,Actor,Joseph Fiennes,10,7
"nominated 1 oscar, another 40 win & 63 nomination",326.0,Actor,William H. Macy,64,40
"nominated 3 golden globes, another 14 win & 24 nomination",247.0,Actress,Christina Applegate,27,14
26 win & 41 nomination,162.0,Actress,Chloë Grace Moretz,41,26
"nominated 1 primetime emmy, another 13 win & 21 nomination",138.0,Actor,"Robert Carlyle
(I)",22,13
10 win & 15 nomination,134.0,Actor,Ryan Phillippe,15,10
"nominated 2 oscars, another 6 win & 56 nomination",208.0,Actor,Jonah Hill,58,6
24 win & 14 nomination,105.0,Actress,"Maggie Cheung
(I)",14,24
"nominated 1 golden globe, another 3 win & 6 nomination",112.0,Actress,"Michelle Monaghan
(I)",7,3
28 win & 34 nomination,135.0,Actor,"Mads Mikkelsen
(I)",34,28
6 win & 5 nomination,314.0,Actor,"Amrish Puri
(1932–2005)",5,6
"won 1 bafta film award, another 17 win & 22 nomination",98.0,Actor,"Jamie Bell
(I)",22,18
